sample_index,window_id,call_index,e55_lpips,e5_lpips,abs_diff_lpips,e55_dino,e5_dino,abs_diff_dino
0,0,1,0.21497765183448792,0.21497765183448792,0.0,0.14951986074447632,0.14951986074447632,0.0
0,1,2,0.05761413276195526,0.05761413276195526,0.0,0.15330100059509277,0.15330100059509277,0.0
0,2,3,0.08986722677946091,0.08986722677946091,0.0,0.22467541694641113,0.22467541694641113,0.0
0,3,5,0.037629205733537674,0.037629205733537674,0.0,0.05199915170669556,0.05199915170669556,0.0
0,4,7,0.007749596145004034,0.007749596145004034,0.0,0.0168302059173584,0.0168302059173584,0.0
0,5,8,0.000787434633821249,0.000787434633821249,0.0,0.0014727115631103516,0.0014727115631103516,0.0
0,6,16,0.00031792346271686256,0.00031792346271686256,0.0,0.0004165172576904297,0.0004165172576904297,0.0
0,7,32,4.068293492309749e-06,4.068293492309749e-06,0.0,6.318092346191406e-06,6.318092346191406e-06,0.0
0,8,64,3.5975514123265384e-08,3.5975514123265384e-08,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0
0,9,90,1.0790477062982973e-06,1.0790477062982973e-06,0.0,4.76837158203125e-07,4.76837158203125e-07,0.0
0,10,98,0.0002666628279257566,0.0002666628279257566,0.0,8.630752563476562e-05,8.630752563476562e-05,0.0
1,0,1,0.0018484867177903652,0.0018484867177903652,0.0,0.0008425712585449219,0.0008425712585449219,0.0
1,1,2,2.027809932769742e-05,2.027809932769742e-05,0.0,8.64267349243164e-06,8.64267349243164e-06,0.0
1,2,3,0.0016544698737561703,0.0016544698737561703,0.0,0.0008052587509155273,0.0008052587509155273,0.0
1,3,5,0.0011330759152770042,0.0011330759152770042,0.0,0.0006204843521118164,0.0006204843521118164,0.0
1,4,7,0.0006512945401482284,0.0006512945401482284,0.0,0.0003896951675415039,0.0003896951675415039,0.0
1,5,8,2.198448964918498e-05,2.198448964918498e-05,0.0,1.0013580322265625e-05,1.0013580322265625e-05,0.0
1,6,16,1.1413685570005327e-06,1.1413685570005327e-06,0.0,7.748603820800781e-07,7.748603820800781e-07,0.0
1,7,32,5.916634648883701e-08,5.916634648883701e-08,0.0,0.0,0.0,0.0
1,8,64,5.21689784704904e-08,5.21689784704904e-08,0.0,0.0,0.0,0.0
1,9,90,1.2064934935551719e-06,1.2064934935551719e-06,0.0,2.384185791015625e-07,2.384185791015625e-07,0.0
1,10,98,0.00019260431872680783,0.00019260431872680783,0.0,4.857778549194336e-05,4.857778549194336e-05,0.0
2,0,1,0.007522427476942539,0.007522427476942539,0.0,0.0025670528411865234,0.0025670528411865234,0.0
2,1,2,0.0002191650273744017,0.0002191650273744017,0.0,6.35385513305664e-05,6.35385513305664e-05,0.0
2,2,3,0.010409470647573471,0.010409470647573471,0.0,0.0046225786209106445,0.0046225786209106445,0.0
2,3,5,0.010699855163693428,0.010699855163693428,0.0,0.004390835762023926,0.004390835762023926,0.0
2,4,7,0.007669951766729355,0.007669951766729355,0.0,0.0026076436042785645,0.0026076436042785645,0.0
2,5,8,0.00035943149123340845,0.00035943149123340845,0.0,0.00013327598571777344,0.00013327598571777344,0.0
2,6,16,1.4457065844908357e-05,1.4457065844908357e-05,0.0,7.510185241699219e-06,7.510185241699219e-06,0.0
2,7,32,1.268057303605019e-07,1.268057303605019e-07,0.0,1.1920928955078125e-07,1.1920928955078125e-07,0.0
2,8,64,2.8208676283725254e-08,2.8208676283725254e-08,0.0,5.960464477539063e-08,5.960464477539063e-08,0.0
2,9,90,1.119441662922327e-06,1.119441662922327e-06,0.0,7.152557373046875e-07,7.152557373046875e-07,0.0
2,10,98,0.0002111401699949056,0.0002111401699949056,0.0,4.124641418457031e-05,4.124641418457031e-05,0.0
3,0,1,0.0032362211495637894,0.0032362211495637894,0.0,0.0029990673065185547,0.0029990673065185547,0.0
3,1,2,0.0001701561559457332,0.0001701561559457332,0.0,6.598234176635742e-05,6.598234176635742e-05,0.0
3,2,3,0.001397305866703391,0.001397305866703391,0.0,0.005159258842468262,0.005159258842468262,0.0
3,3,5,0.0007805651985108852,0.0007805651985108852,0.0,0.0001774430274963379,0.0001774430274963379,0.0
3,4,7,0.00023898977087810636,0.00023898977087810636,0.0,3.081560134887695e-05,3.081560134887695e-05,0.0
3,5,8,2.4668267997185467e-06,2.4668267997185467e-06,0.0,3.5762786865234375e-07,3.5762786865234375e-07,0.0
3,6,16,4.125593477510847e-06,4.125593477510847e-06,0.0,5.364418029785156e-07,5.364418029785156e-07,0.0
3,7,32,2.424007448098564e-07,2.424007448098564e-07,0.0,5.960464477539063e-08,5.960464477539063e-08,0.0
3,8,64,6.270083119375158e-09,6.270083119375158e-09,0.0,0.0,0.0,0.0
3,9,90,1.4157803889247589e-06,1.4157803889247589e-06,0.0,3.5762786865234375e-07,3.5762786865234375e-07,0.0
3,10,98,0.0010302907321602106,0.0010302907321602106,0.0,7.18832015991211e-05,7.18832015991211e-05,0.0
4,0,1,0.10958884656429291,0.10958884656429291,0.0,0.08121919631958008,0.08121919631958008,0.0
4,1,2,0.02291201427578926,0.02291201427578926,0.0,0.03788328170776367,0.03788328170776367,0.0
4,2,3,0.055801600217819214,0.055801600217819214,0.0,0.06416308879852295,0.06416308879852295,0.0
4,3,5,0.033735521137714386,0.033735521137714386,0.0,0.047647297382354736,0.047647297382354736,0.0
4,4,7,0.015111716464161873,0.015111716464161873,0.0,0.023044168949127197,0.023044168949127197,0.0
4,5,8,0.00047340773744508624,0.00047340773744508624,0.0,0.0004974603652954102,0.0004974603652954102,0.0
4,6,16,1.2007789109702571e-06,1.2007789109702571e-06,0.0,1.6689300537109375e-06,1.6689300537109375e-06,0.0
4,7,32,8.802176409972162e-08,8.802176409972162e-08,0.0,5.960464477539063e-08,5.960464477539063e-08,0.0
4,8,64,1.0574202846669323e-08,1.0574202846669323e-08,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0
4,9,90,1.3161529750504997e-06,1.3161529750504997e-06,0.0,6.556510925292969e-07,6.556510925292969e-07,0.0
4,10,98,0.00023324180801864713,0.00023324180801864713,0.0,0.0004221200942993164,0.0004221200942993164,0.0
5,0,1,0.005859294906258583,0.005859294906258583,0.0,0.0014834403991699219,0.0014834403991699219,0.0
5,1,2,0.0005841073580086231,0.0005841073580086231,0.0,0.00015312433242797852,0.00015312433242797852,0.0
5,2,3,0.0011866381391882896,0.0011866381391882896,0.0,0.0002881288528442383,0.0002881288528442383,0.0
5,3,5,0.00025607491261325777,0.00025607491261325777,0.0,5.459785461425781e-05,5.459785461425781e-05,0.0
5,4,7,0.00016279354167636484,0.00016279354167636484,0.0,3.075599670410156e-05,3.075599670410156e-05,0.0
5,5,8,2.9220573196653277e-06,2.9220573196653277e-06,0.0,5.960464477539062e-07,5.960464477539062e-07,0.0
5,6,16,9.896222081806627e-07,9.896222081806627e-07,0.0,1.7881393432617188e-07,1.7881393432617188e-07,0.0
5,7,32,3.226628848551627e-07,3.226628848551627e-07,0.0,0.0,0.0,0.0
5,8,64,4.509248441308955e-08,4.509248441308955e-08,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0
5,9,90,1.195205413750955e-06,1.195205413750955e-06,0.0,1.1920928955078125e-07,1.1920928955078125e-07,0.0
5,10,98,0.0002736780443228781,0.0002736780443228781,0.0,1.4185905456542969e-05,1.4185905456542969e-05,0.0
6,0,1,0.011791758239269257,0.011791758239269257,0.0,0.005259335041046143,0.005259335041046143,0.0
6,1,2,0.001819609315134585,0.001819609315134585,0.0,0.001004934310913086,0.001004934310913086,0.0
6,2,3,0.0021107743959873915,0.0021107743959873915,0.0,0.0025711655616760254,0.0025711655616760254,0.0
6,3,5,0.0010917182080447674,0.0010917182080447674,0.0,0.0015457868576049805,0.0015457868576049805,0.0
6,4,7,0.0006230566650629044,0.0006230566650629044,0.0,0.0007547140121459961,0.0007547140121459961,0.0
6,5,8,1.223129584104754e-05,1.223129584104754e-05,0.0,1.2636184692382812e-05,1.2636184692382812e-05,0.0
6,6,16,4.763910965266405e-06,4.763910965266405e-06,0.0,3.2186508178710938e-06,3.2186508178710938e-06,0.0
6,7,32,7.491568680961791e-07,7.491568680961791e-07,0.0,7.748603820800781e-07,7.748603820800781e-07,0.0
6,8,64,9.562426583897832e-08,9.562426583897832e-08,0.0,0.0,0.0,0.0
6,9,90,2.5952808755391743e-06,2.5952808755391743e-06,0.0,1.0132789611816406e-06,1.0132789611816406e-06,0.0
6,10,98,0.0002619858714751899,0.0002619858714751899,0.0,9.691715240478516e-05,9.691715240478516e-05,0.0
7,0,1,0.04505907744169235,0.04505907744169235,0.0,0.016650915145874023,0.016650915145874023,0.0
7,1,2,0.016012020409107208,0.016012020409107208,0.0,0.005995333194732666,0.005995333194732666,0.0
7,2,3,0.022600919008255005,0.022600919008255005,0.0,0.00893855094909668,0.00893855094909668,0.0
7,3,5,0.008380153216421604,0.008380153216421604,0.0,0.0037060976028442383,0.0037060976028442383,0.0
7,4,7,0.0007758811116218567,0.0007758811116218567,0.0,0.0008487105369567871,0.0008487105369567871,0.0
7,5,8,3.682050737552345e-05,3.682050737552345e-05,0.0,4.4465065002441406e-05,4.4465065002441406e-05,0.0
7,6,16,1.5825214632059215e-06,1.5825214632059215e-06,0.0,2.2649765014648438e-06,2.2649765014648438e-06,0.0
7,7,32,2.380147812175437e-08,2.380147812175437e-08,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0
7,8,64,2.136801313668002e-08,2.136801313668002e-08,0.0,0.0,0.0,0.0
7,9,90,4.915835347674147e-07,4.915835347674147e-07,0.0,1.1920928955078125e-07,1.1920928955078125e-07,0.0
7,10,98,0.00012548459926620126,0.00012548459926620126,0.0,1.8894672393798828e-05,1.8894672393798828e-05,0.0
